Entity,Year,0.1%,0.25%,0.5%,1%,10%,5%
Australia,2000,14.2,12.835135135135134,14.731707317073173,18.3,24.9,21.1
Australia,2001,13.2,12.835135135135134,14.731707317073173,18.4,25.1,21.4
Australia,2002,13.5,12.835135135135134,14.731707317073173,18.8,25.1,21.5
Australia,2003,14.4,12.835135135135134,14.731707317073173,19.1,25.1,21.6
Australia,2004,15.2,12.835135135135134,14.731707317073173,19.6,25.5,22.2
Australia,2005,15.1,12.835135135135134,14.731707317073173,20.3,25.5,22.6
Australia,2006,16.8,12.835135135135134,14.731707317073173,21.5,26.0,23.4
Australia,2007,16.1,12.835135135135134,14.731707317073173,20.7,25.4,22.9
Australia,2008,16.1,12.835135135135134,14.731707317073173,20.2,25.9,22.6
Australia,2009,15.9,12.835135135135134,14.731707317073173,20.0,26.0,22.5
Australia,2010,16.7,12.835135135135134,14.731707317073173,20.4,25.8,22.8
Australia,2011,16.7,12.835135135135134,14.731707317073173,20.2,25.3,22.3
Australia,2012,16.7,12.835135135135134,14.731707317073173,19.8,25.1,21.8
Australia,2013,17.2,12.835135135135134,14.731707317073173,20.3,25.7,22.3
Australia,2014,11.913740458015265,12.835135135135134,14.731707317073173,20.8,26.6,23.0
Canada,1993,10.4,12.835135135135134,14.731707317073173,13.5,22.2,18.6
Canada,1994,10.7,12.835135135135134,14.731707317073173,13.8,21.9,18.1
Canada,1995,10.3,12.835135135135134,14.731707317073173,14.5,22.3,18.5
Canada,1996,9.9,12.835135135135134,14.731707317073173,15.0,22.7,19.0
Canada,1997,9.9,12.835135135135134,14.731707317073173,15.4,22.7,18.9
Canada,1998,10.8,12.835135135135134,14.731707317073173,15.7,23.4,19.6
Canada,1999,11.8,12.835135135135134,14.731707317073173,16.2,23.7,19.9
Canada,2000,11.4,12.835135135135134,14.731707317073173,16.6,25.7,21.8
Canada,2001,11.5,12.835135135135134,14.731707317073173,17.2,25.2,21.3
Canada,2002,12.1,12.835135135135134,14.731707317073173,17.5,26.2,21.9
Canada,2003,12.6,12.835135135135134,14.731707317073173,17.9,26.7,22.3
Canada,2004,12.2,12.835135135135134,14.731707317073173,18.5,27.2,22.9
Canada,2005,12.5,12.835135135135134,14.731707317073173,18.8,27.3,23.0
Canada,2006,12.0,12.835135135135134,14.731707317073173,19.5,27.8,23.6
Canada,2007,12.9,12.835135135135134,14.731707317073173,20.1,28.5,24.2
Canada,2008,13.4,12.835135135135134,14.731707317073173,20.3,28.8,24.4
Canada,2009,13.7,12.835135135135134,14.731707317073173,20.8,30.6,25.6
Canada,2010,13.3,12.835135135135134,14.731707317073173,20.9,30.4,25.5
Canada,2011,13.9,12.835135135135134,14.731707317073173,21.1,30.3,25.4
Canada,2012,14.5,12.835135135135134,14.731707317073173,21.3,29.8,25.2
Canada,2013,15.9,12.835135135135134,14.731707317073173,22.0,29.8,25.4
Canada,2014,15.3,12.835135135135134,14.731707317073173,21.7,29.7,25.2
Canada,2015,16.5,12.835135135135134,14.731707317073173,23.2,30.8,26.5
Denmark,1980,4.8,12.835135135135134,14.731707317073173,4.5,9.4,6.9
Denmark,1981,5.0,12.835135135135134,14.731707317073173,4.7,10.3,7.3
Denmark,1982,4.6,12.835135135135134,14.731707317073173,4.8,10.7,7.6
Denmark,1983,5.5,12.835135135135134,14.731707317073173,5.6,11.7,8.4
Denmark,1984,5.8,12.835135135135134,14.731707317073173,5.6,11.2,8.3
Denmark,1985,5.8,12.835135135135134,14.731707317073173,5.8,12.1,8.7
Denmark,1986,5.6,12.835135135135134,14.731707317073173,5.6,11.4,8.3
Denmark,1987,6.8,12.835135135135134,14.731707317073173,6.2,12.4,9.0
Denmark,1988,6.4,12.835135135135134,14.731707317073173,6.4,14.6,10.4
Denmark,1989,7.2,12.835135135135134,14.731707317073173,6.8,15.3,10.9
Denmark,1990,7.0,12.835135135135134,14.731707317073173,7.1,16.3,11.5
Denmark,1991,8.4,12.835135135135134,14.731707317073173,8.2,16.7,12.5
Denmark,1992,8.4,12.835135135135134,14.731707317073173,9.1,17.6,13.4
Denmark,1993,8.8,12.835135135135134,14.731707317073173,9.4,18.6,14.0
Denmark,1994,8.9,12.835135135135134,14.731707317073173,9.5,18.4,14.0
Denmark,1995,8.8,12.835135135135134,14.731707317073173,9.4,18.6,14.3
Denmark,1996,9.2,12.835135135135134,14.731707317073173,9.5,19.0,14.4
Denmark,1997,8.9,12.835135135135134,14.731707317073173,9.6,19.0,14.4
Denmark,1998,8.2,12.835135135135134,14.731707317073173,9.9,19.5,14.9
Denmark,1999,8.7,12.835135135135134,14.731707317073173,10.2,19.9,15.4
Denmark,2000,9.7,12.835135135135134,14.731707317073173,10.3,20.3,15.7
Denmark,2001,8.2,12.835135135135134,14.731707317073173,10.4,21.1,16.4
Denmark,2002,8.8,12.835135135135134,14.731707317073173,11.3,22.3,17.5
Denmark,2003,9.8,12.835135135135134,14.731707317073173,12.0,23.5,18.5
Denmark,2004,10.2,12.835135135135134,14.731707317073173,12.6,24.2,19.2
Denmark,2005,11.5,12.835135135135134,14.731707317073173,13.0,24.8,19.8
Denmark,2006,11.1,12.835135135135134,14.731707317073173,13.6,25.3,20.4
Denmark,2007,10.3,12.835135135135134,14.731707317073173,13.6,25.5,20.7
Denmark,2008,11.0,12.835135135135134,14.731707317073173,14.3,26.3,21.5
Denmark,2009,11.4,12.835135135135134,14.731707317073173,15.8,28.6,23.3
Denmark,2010,10.3,12.835135135135134,14.731707317073173,16.0,30.3,24.3
Denmark,2011,9.9,12.835135135135134,14.731707317073173,16.1,30.3,24.4
Denmark,2012,10.2,12.835135135135134,14.731707317073173,16.1,30.6,24.5
Denmark,2013,10.8,12.835135135135134,14.731707317073173,16.2,30.9,25.1
Italy,1999,12.5,13.6,14.3,15.4,25.2,21.4
Italy,2000,12.3,13.3,14.1,15.5,25.3,21.7
Italy,2001,12.0,13.2,14.1,15.7,25.4,21.9
Italy,2002,12.2,13.2,14.1,15.7,25.4,21.9
Italy,2003,12.6,13.4,14.3,15.9,25.7,22.1
Italy,2004,11.7,13.0,14.2,15.8,25.6,22.3
Italy,2005,11.7,13.0,14.3,16.1,25.6,22.5
Italy,2006,12.1,13.4,14.8,16.7,26.2,22.8
Italy,2007,12.1,13.5,14.8,16.7,26.2,23.1
Italy,2008,12.0,13.4,14.9,17.0,27.2,23.5
Italy,2009,12.0,13.5,15.4,17.5,28.2,24.2
Italy,2010,12.1,13.8,15.7,17.9,28.6,24.5
Italy,2011,12.5,14.2,16.0,18.2,28.8,24.9
Italy,2012,12.7,14.4,16.2,18.4,28.0,24.8
Italy,2013,13.4,15.1,17.0,19.1,28.5,25.4
Italy,2014,13.8,15.6,17.5,19.6,29.0,25.9
Italy,2015,14.1,16.0,17.8,19.7,28.6,26.0
New Zealand,1980,11.913740458015265,12.835135135135134,8.5,9.2,11.6,10.4
New Zealand,1981,11.913740458015265,12.835135135135134,7.3,7.8,11.8,10.0
New Zealand,1982,11.913740458015265,12.835135135135134,8.2,9.5,13.5,10.7
New Zealand,1983,11.913740458015265,12.835135135135134,9.7,10.6,14.1,12.4
New Zealand,1984,11.913740458015265,12.835135135135134,10.1,12.6,15.6,14.5
New Zealand,1985,11.913740458015265,12.835135135135134,13.0,15.3,16.0,14.7
New Zealand,1986,11.913740458015265,12.835135135135134,11.8,13.1,18.1,15.9
New Zealand,1988,11.913740458015265,12.835135135135134,12.2,13.8,19.3,16.2
New Zealand,1989,11.913740458015265,12.835135135135134,15.1,16.3,20.7,18.3
New Zealand,1998,11.913740458015265,12.835135135135134,14.5,15.7,26.2,21.3
New Zealand,1999,11.913740458015265,12.835135135135134,16.8,18.4,27.2,22.6
New Zealand,2000,11.913740458015265,12.835135135135134,16.9,17.5,28.1,23.5
New Zealand,2001,11.913740458015265,12.835135135135134,15.9,17.3,28.8,24.4
New Zealand,2002,11.913740458015265,12.835135135135134,17.0,17.1,28.8,23.4
New Zealand,2003,11.913740458015265,12.835135135135134,15.8,17.6,29.4,24.5
New Zealand,2004,11.913740458015265,12.835135135135134,15.6,17.8,28.8,23.8
New Zealand,2005,11.913740458015265,12.835135135135134,16.3,17.7,29.0,24.4
New Zealand,2006,11.913740458015265,12.835135135135134,16.9,17.9,29.4,24.4
New Zealand,2007,11.913740458015265,12.835135135135134,16.4,18.5,29.4,24.8
New Zealand,2008,11.913740458015265,12.835135135135134,15.9,18.9,29.7,24.5
New Zealand,2009,11.913740458015265,12.835135135135134,16.2,19.1,30.4,24.2
New Zealand,2010,11.913740458015265,12.835135135135134,15.0,18.2,30.2,24.0
New Zealand,1987,11.913740458015265,12.835135135135134,14.731707317073173,14.0,17.9,14.9
New Zealand,1990,11.913740458015265,12.835135135135134,14.731707317073173,18.2,22.6,20.2
New Zealand,1991,11.913740458015265,12.835135135135134,14.731707317073173,18.6,23.3,20.1
New Zealand,1992,11.913740458015265,12.835135135135134,14.731707317073173,17.7,23.3,19.8
New Zealand,1993,11.913740458015265,12.835135135135134,14.731707317073173,14.3,22.0,18.9
New Zealand,1994,11.913740458015265,12.835135135135134,14.731707317073173,13.9,22.1,19.0
New Zealand,1995,11.913740458015265,12.835135135135134,14.731707317073173,16.1,22.9,19.9
New Zealand,1996,11.913740458015265,12.835135135135134,14.731707317073173,16.2,24.3,20.5
New Zealand,2011,11.913740458015265,12.835135135135134,14.731707317073173,18.8,30.0,24.4
New Zealand,2012,11.913740458015265,12.835135135135134,14.731707317073173,18.8,29.2,24.0
New Zealand,2013,11.913740458015265,12.835135135135134,14.731707317073173,18.2,29.3,24.0
New Zealand,2014,11.913740458015265,12.835135135135134,14.731707317073173,17.9,29.4,24.3
New Zealand,2015,11.913740458015265,12.835135135135134,14.731707317073173,19.7,29.3,24.9
New Zealand,1997,11.913740458015265,12.835135135135134,14.731707317073173,15.690419161676648,24.6,20.7
Norway,2006,10.9,12.835135135135134,11.4,11.9,19.4,16.0
Norway,2007,12.6,12.835135135135134,12.5,13.1,19.9,16.6
Norway,2008,11.8,12.835135135135134,12.4,13.2,21.2,17.6
Norway,2009,11.3,12.835135135135134,11.7,12.6,20.7,17.0
Norway,2010,12.0,12.835135135135134,12.4,13.0,20.9,17.4
Norway,2011,12.5,12.835135135135134,12.6,13.5,21.2,17.7
Norway,2012,12.7,12.835135135135134,12.6,13.2,21.3,17.7
Norway,2013,13.6,12.835135135135134,13.2,13.7,21.5,17.8
Spain,1999,13.7,12.835135135135134,14.5,14.7,24.4,19.8
Spain,2000,13.7,12.835135135135134,14.7,15.1,24.6,20.0
Spain,2001,14.5,12.835135135135134,15.8,16.3,26.0,21.7
Spain,2002,14.8,12.835135135135134,15.9,16.5,25.4,21.4
Spain,2003,15.9,12.835135135135134,16.3,17.2,27.2,23.0
Spain,2004,16.2,12.835135135135134,17.0,18.2,29.0,25.0
Spain,2005,16.5,12.835135135135134,17.3,18.4,28.9,25.1
Spain,2006,17.7,12.835135135135134,18.3,19.4,29.6,25.7
Spain,2007,17.7,12.835135135135134,18.8,20.0,30.1,27.3
Spain,2008,18.3,12.835135135135134,19.2,20.7,31.2,27.9
Spain,2009,18.7,12.835135135135134,19.9,22.1,33.0,30.0
Spain,2010,18.3,12.835135135135134,20.9,23.5,33.2,30.3
Spain,2011,20.0,12.835135135135134,21.8,24.1,33.4,31.0
Spain,2012,19.4,12.835135135135134,22.6,25.0,34.1,31.4
Spain,2013,19.8,12.835135135135134,22.4,24.9,34.8,33.2
UK,1995,9.6,9.9,9.8,10.7,19.9,15.6
UK,1996,8.6,10.0,12.2,13.2,20.6,16.7
UK,1997,10.7,13.1,12.5,13.5,21.5,17.6
UK,1998,10.4,10.8,12.1,13.4,21.4,17.7
UK,1999,10.0,10.6,11.8,13.4,21.9,18.6
UK,2000,9.8,11.3,12.5,13.8,21.8,18.4
UK,2001,10.7,11.4,12.6,14.2,23.3,18.9
UK,2002,9.1,11.1,12.2,14.1,23.5,19.4
UK,2003,9.3,11.2,12.7,14.7,24.5,20.0
UK,2004,9.5,11.5,12.8,15.1,25.3,21.7
UK,2005,9.7,11.2,12.9,15.6,25.6,21.5
UK,2006,9.9,11.7,13.4,15.7,25.9,22.1
UK,2007,10.8,12.7,14.1,16.2,26.4,22.9
UK,2009,10.2,12.6,14.5,17.0,27.9,23.5
UK,2010,10.0,12.0,14.3,16.8,28.3,23.8
UK,2011,9.9,12.2,14.4,17.1,28.1,24.2
UK,2012,11.9,13.5,15.4,17.7,28.0,24.2
UK,2013,10.8,13.3,15.6,18.0,28.0,24.6
UK,2014,11.4,13.9,16.3,18.6,27.7,24.8
UK,2015,12.7,15.3,17.1,18.9,28.3,25.1
